number_of_elements,value_label,time_to_live,key_label,creation_time,element_type,timeout_type,key_name_types,name,type
0,,,,1440703811218,IP,FIRST_SEEN,,SSH Servers,set
7,,,,1535985336857,ALNIC,FIRST_SEEN,,Cryptocurrency Mining Javascript File Hashes,set
0,,,,1471979469011,ALNIC,FIRST_SEEN,,UBA : Trusted Usernames,set
1,,,,1550163803640,IP,FIRST_SEEN,,EC Critical Assets,set
0,,,,1440703748272,IP,FIRST_SEEN,,FTP Servers,set
0,,,,1390246931486,IP,FIRST_SEEN,,Asset Reconciliation IPv4 Whitelist,set
0,,,,1534879326530,IP,FIRST_SEEN,,Cryptocurrency Mining IPs,set
2,,,,1553191976085,ALN,FIRST_SEEN,,EC TempFilePath,set
0,,,,1539894917857,ALNIC,FIRST_SEEN,,EC Cryptocurrency Mining Threat Names,set
0,,,,1440695740583,IP,FIRST_SEEN,,Critical Assets,set
2,,,,1505075219867,IP,FIRST_SEEN,,Compromised Hosts,set
2,,,,1502477033185,ALN,FIRST_SEEN,,TempFilePath,set
0,,,,1550262051154,ALN,FIRST_SEEN,,EC Potentially Attacked Users,set
0,,,,1440703846455,IP,FIRST_SEEN,,Web Servers,set
37,,,,1536318513796,ALNIC,FIRST_SEEN,,Cryptocurrency Mining Process Names,set
7,,,,1505477997973,ALNIC,FIRST_SEEN,,IOCs - Malicious Service names,set
0,,,,1579530517941,ALN,FIRST_SEEN,,Whitelisted Email Admins,set
0,,,,1390246958190,ALNIC,FIRST_SEEN,,Asset Reconciliation NetBIOS Whitelist,set
1,,,,1553003227875,ALNIC,FIRST_SEEN,,EC Spam Sender Hosts,set
0,,,,1557250595926,ALNIC,FIRST_SEEN,,EC Profiled Process Hashes,set
0,,,,1348244577718,ALN,LAST_SEEN,,Teleworker,set
0,,0 years 0 mons 7 days 0 hours 0 mins 0.00 secs,,1389036075909,ALNIC,LAST_SEEN,,Asset Reconciliation MAC Blacklist,set
0,,,,1440703759405,IP,FIRST_SEEN,,LDAP Servers,set
0,,,,1544542525191,ALNIC,FIRST_SEEN,,EC Phishing Subjects,set
0,,,,1440703770114,IP,FIRST_SEEN,,Mail Servers,set
0,,,,1348244570271,ALN,LAST_SEEN,,External Contractor,set
0,,0 years 0 mons 7 days 0 hours 0 mins 0.00 secs,,1389035969294,IP,LAST_SEEN,,Asset Reconciliation IPv4 Blacklist,set
0,,,,1440703786541,IP,FIRST_SEEN,,Proxy Servers,set
0,,,,1502232034322,ALNIC,FIRST_SEEN,,WhitelistedHashes,set
37,,,,1503022405562,ALNIC,FIRST_SEEN,,Systools,set
0,,,,1529425623475,ALNIC,FIRST_SEEN,,ProcesstoParentProcessPathRefMapKeys,set
0,,,,1349187794201,ALN,LAST_SEEN,,IT Admins,set
0,,,,1440703735265,IP,FIRST_SEEN,,DNS Servers,set
0,,0 years 0 mons 0 days 1 hours 0 mins 0.00 secs,,1539199805456,ALN,LAST_SEEN,,EC UserAccountUsed,set
0,,0 years 0 mons 0 days 1 hours 0 mins 0.00 secs,,1539199789730,ALN,LAST_SEEN,,EC UserAccountCreated,set
0,,,,1354560576159,ALN,LAST_SEEN,,Mobile Worker,set
0,,,,1440703711884,IP,FIRST_SEEN,,Database Servers,set
171,,,,1534878068974,ALNIC,FIRST_SEEN,,Cryptocurrency Mining Threat Names,set
